,Feature,Importance,Model
123,neighbourhood_6,0.0020673451440290295,Gradient Boosting
124,neighbourhood_7,0.002500937944369123,Gradient Boosting
125,neighbourhood_8,0.005514507482930015,Gradient Boosting
126,neighbourhood_9,0.0044738215426141075,Gradient Boosting
127,number_of_reviews,0.02110782559517798,Gradient Boosting
128,review_scores_rating,0.010494196656100959,Gradient Boosting
129,zipcode_0,0.0011995605439321013,Gradient Boosting
130,zipcode_1,0.003584948559891685,Gradient Boosting
131,zipcode_2,0.0018938298438160972,Gradient Boosting
132,zipcode_3,0.00316540642434893,Gradient Boosting
133,zipcode_4,0.0027046258789471377,Gradient Boosting
134,zipcode_5,0.0032394687864589445,Gradient Boosting
135,zipcode_6,0.0018966906552698806,Gradient Boosting
136,zipcode_7,0.0018193188286544338,Gradient Boosting
137,zipcode_8,0.0018680942574130026,Gradient Boosting
138,zipcode_9,0.0021933179408265024,Gradient Boosting
139,bedrooms,0.12771193698236688,Gradient Boosting
140,beds,0.0033998770781491724,Gradient Boosting
141,is_new_listing,0.01292279729733002,Gradient Boosting
142,distance_to_downtown,0.09801104229894725,Gradient Boosting
143,hosting_duration_years,0.020681168858518315,Gradient Boosting
144,description_length,0.010628798329617672,Gradient Boosting
145,word_count,0.009699076771383805,Gradient Boosting
146,important_word_ratio,0.01316633051012687,Gradient Boosting
147,selected_word_count,0.0031539364537107543,Gradient Boosting
148,selected_word_ratio,0.009153115590793508,Gradient Boosting
149,amenities_count,0.013887742052307837,Gradient Boosting
150,property_type_Condo_Townhouse,0.00112371684482337,Gradient Boosting
151,property_type_House,0.0036245228329732982,Gradient Boosting
152,property_type_Other,0.0025807806133379117,Gradient Boosting
153,room_type_Private room,0.2835845937232407,Gradient Boosting
154,room_type_Shared room,0.07152044588389876,Gradient Boosting
155,cancellation_policy_moderate,0.0006202140058315106,Gradient Boosting
156,cancellation_policy_strict,0.0014697302972143517,Gradient Boosting
157,cancellation_policy_super_strict_30,0.00017354508939323697,Gradient Boosting
158,cancellation_policy_super_strict_60,0.0001613032355256922,Gradient Boosting
159,cleaning_fee_True,0.0026168871702305597,Gradient Boosting
160,city_Chicago,0.005896792686041113,Gradient Boosting
161,city_DC,0.009084429926952731,Gradient Boosting
162,city_LA,0.007770997298408355,Gradient Boosting
163,city_NYC,0.010999263608824777,Gradient Boosting
164,city_SF,0.009672908311247105,Gradient Boosting
165,host_identity_verified_t,0.001004921883613028,Gradient Boosting
166,instant_bookable_t,0.0012802410473195121,Gradient Boosting
167,amenities_cluster_1,0.0005472839403006025,Gradient Boosting
168,amenities_cluster_2,0.0010193656612918216,Gradient Boosting
169,amenities_cluster_3,0.0012358895871625078,Gradient Boosting
170,amenities_cluster_4,0.0006475683006695285,Gradient Boosting
